group,team,number,player,position,date_of_birth,age,caps,goals,club,is_captain,norm,club_data,Gls,Gls,Ast,Ast,Min,MP
Group E,Ivory Coast,15,Amad Diallo,FW,2002-07-11,23.0,19,6,Manchester United,False,amad diallo,True,2,0.08,3,0.12,2341,32
Group E,Ivory Coast,17,Guéla Doué,DF,2002-10-17,23.0,20,3,Strasbourg,False,guela doue,True,2,0.09,6,0.26,2061,24
Group E,Ivory Coast,18,Ibrahim Sangaré,MF,1997-12-02,28.0,58,12,Nottingham Forest,False,ibrahim sangare,True,2,0.09,2,0.09,2075,28
Group E,Ivory Coast,19,Nicolas Pépé,FW,1995-05-29,31.0,55,12,Villarreal,False,nicolas pepe,True,8,0.3,8,0.3,2393,36
Group E,Ivory Coast,20,Emmanuel Agbadou,DF,1997-06-17,28.0,20,2,Beşiktaş,False,emmanuel agbadou,True,0,0.0,0,0.0,1101,14
Group E,Ivory Coast,22,Evann Guessand,FW,2001-07-01,24.0,21,4,Crystal Palace,False,evann guessand,True,0,0.0,1,0.15,588,13
Group E,Ivory Coast,22,Evann Guessand,FW,2001-07-01,24.0,21,4,Crystal Palace,False,evann guessand,True,1,0.27,1,0.27,330,8
Group E,Ivory Coast,24,Bazoumana Touré,FW,2006-03-02,20.0,6,2,TSG Hoffenheim,False,bazoumana toure,True,5,0.19,9,0.35,2308,30
Group F,Japan,1,Zion Suzuki,GK,2002-08-21,23.0,24,0,Parma,False,zion suzuki,True,0,0.0,0,0.0,1800,20
Group F,Japan,2,Yukinari Sugawara,DF,2000-06-28,25.0,21,2,Werder Bremen,False,yukinari sugawara,True,0,0.0,6,0.22,2428,31
Group F,Japan,6,Wataru Endo,MF,1993-02-09,33.0,73,4,Liverpool,True,wataru endo,True,0,0.0,1,0.51,175,8
Group F,Japan,7,Ao Tanaka,MF,1998-09-10,27.0,38,8,Leeds United,False,ao tanaka,True,2,0.14,0,0.0,1315,28
Group F,Japan,8,Takefusa Kubo,MF,2001-06-04,25.0,49,7,Real Sociedad,False,takefusa kubo,True,2,0.12,4,0.24,1503,24
Group F,Japan,10,Ritsu Dōan,MF,1998-06-16,27.0,65,11,Eintracht Frankfurt,False,ritsu doan,True,5,0.19,5,0.19,2364,31
Group F,Japan,15,Daichi Kamada,MF,1996-08-05,29.0,49,12,Crystal Palace,False,daichi kamada,True,0,0.0,0,0.0,1902,28
Group F,Japan,17,Yuito Suzuki,MF,2001-10-25,24.0,6,0,SC Freiburg,False,yuito suzuki,True,4,0.22,2,0.11,1632,25
Group F,Japan,20,Ayumu Seko,DF,2000-06-07,26.0,14,0,Le Havre,False,ayumu seko,True,0,0.0,0,0.0,2625,30
Group F,Japan,21,Hiroki Itō,DF,1999-05-12,27.0,24,1,Bayern Munich,False,hiroki ito,True,1,0.1,2,0.2,920,16
Group F,Japan,24,Kaishū Sano,MF,2000-12-30,25.0,13,0,Mainz 05,False,kaishu sano,True,1,0.03,2,0.06,3059,34
Group F,Japan,26,Kento Shiogai,FW,2005-03-26,21.0,2,0,VfL Wolfsburg,False,kento shiogai,True,1,0.28,0,0.0,318,12
Group F,Netherlands,1,Bart Verbruggen,GK,2002-08-18,23.0,29,0,Brighton & Hove Albion,False,bart verbruggen,True,0,0.0,0,0.0,3420,38
Group F,Netherlands,2,Lutsharel Geertruida,DF,2000-07-18,25.0,21,0,Sunderland,False,lutsharel geertruida,True,0,0.0,0,0.0,1693,28
Group F,Netherlands,3,Marten de Roon,MF,1991-03-29,35.0,43,1,Atalanta,False,marten de roon,True,1,0.03,2,0.07,2691,34
Group F,Netherlands,4,Virgil van Dijk,DF,1991-07-08,34.0,92,12,Liverpool,True,virgil van dijk,True,6,0.16,0,0.0,3420,38
Group F,Netherlands,5,Nathan Aké,DF,1995-02-18,31.0,59,5,Manchester City,False,nathan ake,True,0,0.0,0,0.0,695,18
Group F,Netherlands,6,Jan Paul van Hecke,DF,2000-06-08,26.0,12,0,Brighton & Hove Albion,False,jan paul van hecke,True,3,0.08,3,0.08,3210,36
Group F,Netherlands,7,Justin Kluivert,MF,1999-05-05,27.0,12,0,Bournemouth,False,justin kluivert,True,2,0.19,0,0.0,952,20
Group F,Netherlands,8,Ryan Gravenberch,MF,2002-05-16,24.0,27,1,Liverpool,False,ryan gravenberch,True,5,0.15,3,0.09,2992,36
Group F,Netherlands,11,Cody Gakpo,FW,1999-05-07,27.0,50,21,Liverpool,False,cody gakpo,True,7,0.23,5,0.16,2737,36
Group F,Netherlands,12,Mats Wieffer,DF,1999-11-16,26.0,15,1,Brighton & Hove Albion,False,mats wieffer,True,2,0.09,3,0.14,1903,26
Group F,Netherlands,13,Robin Roefs,GK,2003-01-17,23.0,1,0,Sunderland,False,robin roefs,True,0,0.0,0,0.0,3150,35
Group F,Netherlands,14,Tijjani Reijnders,MF,1998-07-29,27.0,32,7,Manchester City,False,tijjani reijnders,True,5,0.28,2,0.11,1631,28
Group F,Netherlands,15,Micky van de Ven,DF,2001-04-19,25.0,21,1,Tottenham Hotspur,False,micky van de ven,True,4,0.12,1,0.03,3041,35
Group F,Netherlands,17,Noa Lang,FW,1999-06-17,26.0,15,3,Galatasaray,False,noa lang,True,1,0.14,2,0.27,666,18
Group F,Netherlands,18,Donyell Malen,FW,1999-01-19,27.0,53,13,Roma,False,donyell malen,True,4,0.55,1,0.14,656,21
Group F,Netherlands,18,Donyell Malen,FW,1999-01-19,27.0,53,13,Roma,False,donyell malen,True,14,0.86,2,0.12,1467,18
Group F,Netherlands,19,Brian Brobbey,FW,2002-02-01,24.0,12,1,Sunderland,False,brian brobbey,True,7,0.33,1,0.05,1927,31
Group F,Netherlands,20,Teun Koopmeiners,MF,1998-02-28,28.0,28,3,Juventus,False,teun koopmeiners,True,0,0.0,0,0.0,1827,33
Group F,Netherlands,21,Frenkie de Jong,MF,1997-05-12,29.0,66,2,Barcelona,False,frenkie de jong,True,1,0.06,5,0.28,1636,25
Group F,Netherlands,22,Denzel Dumfries,DF,1996-04-18,30.0,72,11,Inter Milan,False,denzel dumfries,True,3,0.2,1,0.07,1325,20
Group F,Netherlands,23,Mark Flekken,GK,1993-06-13,32.0,12,0,Bayer Leverkusen,False,mark flekken,True,0,0.0,0,0.0,2129,24
Group F,Netherlands,24,Crysencio Summerville,FW,2001-10-30,24.0,2,0,West Ham United,False,crysencio summerville,True,5,0.18,2,0.07,2470,31
Group F,Netherlands,25,Jorrel Hato,DF,2006-03-07,20.0,8,0,Chelsea,False,jorrel hato,True,0,0.0,0,0.0,1148,22
Group F,Netherlands,26,Quinten Timber,MF,2001-06-17,24.0,11,1,Marseille,False,quinten timber,True,0,0.0,0,0.0,1105,15
Group F,Sweden,3,Victor Lindelöf,DF,1994-07-17,31.0,76,3,Aston Villa,True,victor lindelof,True,0,0.0,1,0.09,948,17
Group F,Sweden,4,Isak Hien,DF,1999-01-13,27.0,29,0,Atalanta,False,isak hien,True,1,0.05,0,0.0,1970,28
Group F,Sweden,5,Gabriel Gudmundsson,DF,1999-04-29,27.0,24,0,Leeds United,False,gabriel gudmundsson,True,0,0.0,0,0.0,2631,32
Group F,Sweden,7,Lucas Bergvall,MF,2006-02-02,20.0,10,0,Tottenham Hotspur,False,lucas bergvall,True,1,0.09,3,0.28,965,23
Group F,Sweden,8,Daniel Svensson,DF,2002-02-12,24.0,13,0,Borussia Dortmund,False,daniel svensson,True,2,0.07,2,0.07,2454,33
Group F,Sweden,9,Alexander Isak,FW,1999-09-21,26.0,58,17,Liverpool,False,alexander isak,True,3,0.39,1,0.13,699,14
Group F,Sweden,11,Anthony Elanga,FW,2002-04-27,24.0,30,6,Newcastle United,False,anthony elanga,True,0,0.0,1,0.07,1319,32
Group F,Sweden,14,Hjalmar Ekdal,DF,1998-10-21,27.0,13,0,Burnley,False,hjalmar ekdal,True,0,0.0,0,0.0,1539,19
Group F,Sweden,15,Carl Starfelt,DF,1995-06-01,31.0,18,0,Celta Vigo,False,carl starfelt,True,0,0.0,0,0.0,1491,19
Group F,Sweden,16,Jesper Karlström,MF,1995-06-21,30.0,25,0,Udinese,False,jesper karlstrom,True,1,0.03,0,0.0,3146,36
Group F,Sweden,17,Viktor Gyökeres,FW,1998-06-04,28.0,33,20,Arsenal,False,viktor gyokeres,True,14,0.57,1,0.04,2224,36
Group F,Sweden,18,Yasin Ayari,MF,2003-10-06,22.0,21,3,Brighton & Hove Albion,False,yasin ayari,True,3,0.14,3,0.14,1929,29
Group F,Sweden,19,Mattias Svanberg,MF,1999-01-05,27.0,41,2,VfL Wolfsburg,False,mattias svanberg,True,3,0.31,1,0.1,861,24
Group F,Sweden,20,Eric Smith,DF,1997-01-08,29.0,2,0,FC St. Pauli,False,eric smith,True,2,0.08,2,0.08,2311,27
Group F,Tunisia,2,Ali Abdi,DF,1993-12-20,32.0,46,7,Nice,False,ali abdi,True,3,0.23,0,0.0,1187,22
Group F,Tunisia,3,Montassar Talbi,DF,1998-05-26,28.0,64,4,Lorient,False,montassar talbi,True,0,0.0,1,0.03,2610,29
Group F,Tunisia,8,Elias Saad,FW,1999-12-27,26.0,15,4,Hannover 96,False,elias saad,True,0,0.0,0,0.0,497,10
Group F,Tunisia,10,Hannibal Mejbri,MF,2003-01-21,23.0,45,1,Burnley,False,hannibal mejbri,True,1,0.07,4,0.29,1229,27
Group F,Tunisia,11,Ismaël Gharbi,MF,2004-04-10,22.0,17,2,FC Augsburg,False,ismael gharbi,True,0,0.0,0,0.0,94,6
Group F,Tunisia,13,Rani Khedira,MF,1994-01-27,32.0,3,0,Union Berlin,False,rani khedira,True,5,0.16,1,0.03,2830,32
Group F,Tunisia,17,Ellyes Skhiri,MF,1995-05-10,31.0,83,4,Eintracht Frankfurt,True,ellyes skhiri,True,0,0.0,0,0.0,1444,25
Group G,Belgium,1,Thibaut Courtois,GK,1992-05-11,34.0,109,0,Real Madrid,False,thibaut courtois,True,0,0.0,0,0.0,2880,32
Group G,Belgium,3,Arthur Theate,DF,2000-05-25,26.0,33,1,Eintracht Frankfurt,False,arthur theate,True,1,0.04,0,0.0,2141,24
Group G,Belgium,5,Maxim De Cuyper,DF,2000-12-22,25.0,19,4,Brighton & Hove Albion,False,maxim de cuyper,True,2,0.13,3,0.19,1414,30
Group G,Belgium,6,Axel Witsel,MF,1989-01-12,37.0,138,12,Girona,False,axel witsel,True,1,0.04,2,0.07,2526,32
Group G,Belgium,7,Kevin De Bruyne,MF,1991-06-28,34.0,119,37,Napoli,False,kevin de bruyne,True,5,0.39,2,0.15,1165,18
Group G,Belgium,8,Youri Tielemans,MF,1997-05-07,29.0,85,13,Aston Villa,True,youri tielemans,True,0,0.0,4,0.19,1862,25
Group G,Belgium,9,Romelu Lukaku,FW,1993-05-13,33.0,126,90,Napoli,False,romelu lukaku,True,1,2.05,0,0.0,44,5
Group G,Belgium,10,Leandro Trossard,FW,1994-12-04,31.0,51,12,Arsenal,False,leandro trossard,True,6,0.27,6,0.27,2000,31
Group G,Belgium,11,Jérémy Doku,FW,2002-05-27,24.0,43,7,Manchester City,False,jeremy doku,True,5,0.25,5,0.25,1784,30
Group G,Belgium,12,Senne Lammens,GK,2002-07-07,23.0,2,0,Manchester United,False,senne lammens,True,0,0.0,0,0.0,2880,32
Group G,Belgium,13,Mike Penders,GK,2005-07-31,20.0,0,0,Strasbourg,False,mike penders,True,0,0.0,0,0.0,2970,33
Group G,Belgium,14,Dodi Lukébakio,FW,1997-09-24,28.0,30,6,Benfica,False,dodi lukebakio,True,1,0.5,0,0.0,180,2
Group G,Belgium,15,Thomas Meunier,DF,1991-09-12,34.0,80,10,Lille,False,thomas meunier,True,2,0.09,2,0.09,1909,25
Group G,Belgium,16,Koni De Winter,DF,2002-06-12,23.0,8,0,Milan,False,koni de winter,True,1,0.05,1,0.05,1800,26
Group G,Belgium,17,Charles De Ketelaere,FW,2001-03-10,25.0,30,6,Atalanta,False,charles de ketelaere,True,3,0.12,5,0.21,2177,31
Group G,Belgium,19,Diego Moreira,MF,2004-08-06,21.0,3,0,Strasbourg,False,diego moreira,True,4,0.18,6,0.27,2034,27
Group G,Belgium,21,Timothy Castagne,DF,1995-12-05,30.0,63,2,Fulham,False,timothy castagne,True,0,0.0,0,0.0,1845,30
Group G,Belgium,22,Alexis Saelemaekers,MF,1999-06-27,26.0,24,2,Milan,False,alexis saelemaekers,True,3,0.1,3,0.1,2788,35
Group G,Belgium,24,Amadou Onana,MF,2001-08-16,24.0,29,1,Aston Villa,False,amadou onana,True,2,0.1,0,0.0,1758,25
Group G,Belgium,25,Nathan Ngoy,DF,2003-06-10,23.0,4,0,Lille,False,nathan ngoy,True,1,0.04,2,0.07,2405,29
Group G,Belgium,26,Matias Fernandez-Pardo,FW,2005-02-03,21.0,2,0,Lille,False,matias fernandez-pardo,True,8,0.3,5,0.19,2370,29
Group G,Egypt,10,Mohamed Salah,FW,1992-06-15,33.0,116,67,Liverpool,True,mohamed salah,True,7,0.29,7,0.29,2146,27
Group G,Egypt,12,Haissem Hassan,FW,2002-02-08,24.0,4,0,Oviedo,False,haissem hassan,True,0,0.0,3,0.14,1942,37
Group G,Egypt,22,Omar Marmoush,FW,1999-02-07,27.0,49,11,Manchester City,False,omar marmoush,True,3,0.39,3,0.39,700,21
Group G,New Zealand,9,Chris Wood,FW,1991-12-07,34.0,90,45,Nottingham Forest,True,chris wood,True,3,0.3,0,0.0,901,15
Group H,Cape Verde,5,Logan Costa,DF,2001-04-01,25.0,28,0,Villarreal,False,logan costa,True,0,0.0,0,0.0,30,2
Group H,Saudi Arabia,12,Saud Abdulhamid,DF,1999-07-18,26.0,54,1,Lens,False,saud abdulhamid,True,2,0.13,4,0.27,1352,25
Group H,Spain,1,David Raya,GK,1995-09-15,30.0,13,0,Arsenal,False,david raya,True,0,0.0,0,0.0,3330,37
Group H,Spain,2,Marc Pubill,DF,2003-06-20,22.0,2,0,Atlético Madrid,False,marc pubill,True,1,0.07,1,0.07,1381,19
Group H,Spain,3,Álex Grimaldo,DF,1995-09-20,30.0,14,0,Bayer Leverkusen,False,alex grimaldo,True,8,0.29,7,0.25,2521,29
Group H,Spain,4,Eric García,DF,2001-01-09,25.0,21,0,Barcelona,False,eric garcia,True,1,0.03,1,0.03,2721,34
Group H,Spain,5,Marcos Llorente,DF,1995-01-30,31.0,24,0,Atlético Madrid,False,marcos llorente,True,0,0.0,4,0.17,2181,29
Group H,Spain,6,Mikel Merino,MF,1996-06-22,29.0,43,10,Arsenal,False,mikel merino,True,4,0.35,3,0.26,1036,22
Group H,Spain,7,Ferran Torres,FW,2000-02-29,26.0,57,24,Barcelona,False,ferran torres,True,16,0.73,2,0.09,1965,33
Group H,Spain,9,Gavi,MF,2004-08-05,21.0,30,5,Barcelona,False,gavi,True,0,0.0,1,0.16,573,11
Group H,Spain,10,Dani Olmo,FW,1998-05-07,28.0,50,12,Barcelona,False,dani olmo,True,7,0.3,8,0.35,2067,33
Group H,Spain,11,Yéremy Pino,FW,2002-10-20,23.0,23,4,Crystal Palace,False,yeremy pino,True,2,0.09,2,0.09,2080,34
Group H,Spain,11,Yéremy Pino,FW,2002-10-20,23.0,23,4,Crystal Palace,False,yeremy pino,True,0,0.0,1,0.57,159,2
Group H,Spain,12,Pedro Porro,DF,1999-09-13,26.0,18,0,Tottenham Hotspur,False,pedro porro,True,1,0.03,2,0.06,2796,34
Group H,Spain,13,Joan Garcia,GK,2001-05-04,25.0,2,0,Barcelona,False,joan garcia,True,0,0.0,0,0.0,2700,30
Group H,Spain,14,Aymeric Laporte,DF,1994-05-27,32.0,46,2,Athletic Bilbao,False,aymeric laporte,True,0,0.0,1,0.04,2058,25
Group H,Spain,15,Álex Baena,MF,2001-07-20,24.0,17,2,Atlético Madrid,False,alex baena,True,2,0.12,3,0.17,1560,27
Group H,Spain,16,Rodri,MF,1996-06-22,29.0,62,4,Manchester City,True,rodri,True,1,0.06,0,0.0,1511,21
Group H,Spain,17,Nico Williams,FW,2002-07-12,23.0,30,6,Athletic Bilbao,False,nico williams,True,6,0.32,3,0.16,1674,25
Group H,Spain,18,Martín Zubimendi,MF,1999-02-02,27.0,26,3,Arsenal,False,martin zubimendi,True,5,0.15,1,0.03,2992,38
Group H,Spain,19,Lamine Yamal,FW,2007-07-13,18.0,25,6,Barcelona,False,lamine yamal,True,16,0.64,11,0.44,2262,28
Group H,Spain,20,Pedri,MF,2002-11-25,23.0,41,6,Barcelona,False,pedri,True,2,0.09,9,0.38,2104,29
Group H,Spain,21,Mikel Oyarzabal,FW,1997-04-21,29.0,53,25,Real Sociedad,False,mikel oyarzabal,True,15,0.5,4,0.13,2710,34
Group H,Spain,22,Pau Cubarsí,DF,2007-01-22,19.0,12,0,Barcelona,False,pau cubarsi,True,1,0.03,0,0.0,2703,31
Group H,Spain,23,Unai Simón,GK,1997-06-11,29.0,58,0,Athletic Bilbao,False,unai simon,True,0,0.0,0,0.0,3330,37
Group H,Spain,24,Marc Cucurella,DF,1998-07-22,27.0,24,1,Chelsea,False,marc cucurella,True,1,0.03,4,0.13,2707,34
Group H,Spain,25,Víctor Muñoz,FW,2003-07-13,22.0,2,1,Osasuna,False,victor munoz,True,6,0.2,2,0.07,2656,34
Group H,Spain,26,Borja Iglesias,FW,1993-01-17,33.0,8,0,Celta Vigo,False,borja iglesias,True,14,0.66,2,0.09,1900,35
Group H,Uruguay,4,Ronald Araújo,DF,1999-03-07,27.0,27,1,Barcelona,False,ronald araujo,True,3,0.25,0,0.0,1071,24
Group H,Uruguay,5,Manuel Ugarte,MF,2001-04-11,25.0,36,1,Manchester United,False,manuel ugarte,True,0,0.0,0,0.0,887,22
Group H,Uruguay,6,Rodrigo Bentancur,MF,1997-06-25,28.0,74,3,Tottenham Hotspur,False,rodrigo bentancur,True,1,0.05,1,0.05,1883,26
Group H,Uruguay,8,Federico Valverde,MF,1998-07-22,27.0,73,9,Real Madrid,False,federico valverde,True,5,0.16,8,0.26,2740,33
Group H,Uruguay,15,Emiliano Martínez,MF,1999-08-17,26.0,10,0,Palmeiras,False,emiliano martinez,True,0,0.0,1,0.03,2835,32
Group H,Uruguay,16,Mathías Olivera,DF,1997-10-31,28.0,35,2,Napoli,False,mathias olivera,True,0,0.0,0,0.0,1370,25
Group H,Uruguay,21,Federico Viñas,FW,1998-06-30,27.0,11,2,Oviedo,False,federico vinas,True,9,0.33,1,0.04,2439,33
Group H,Uruguay,24,Santiago Bueno,DF,1998-11-09,27.0,8,0,Wolverhampton Wanderers,False,santiago bueno,True,3,0.11,1,0.04,2553,29
Group I,France,1,Brice Samba,GK,1994-04-25,32.0,4,0,Rennes,False,brice samba,True,0,0.0,0,0.0,2880,32
Group I,France,2,Malo Gusto,DF,2003-05-19,23.0,11,0,Chelsea,False,malo gusto,True,2,0.08,3,0.12,2261,34
Group I,France,3,Lucas Digne,DF,1993-07-20,32.0,58,0,Aston Villa,False,lucas digne,True,0,0.0,6,0.29,1852,31
Group I,France,4,Dayot Upamecano,DF,1998-10-27,27.0,38,2,Bayern Munich,False,dayot upamecano,True,1,0.05,1,0.05,1794,24
Group I,France,5,Jules Koundé,DF,1998-11-12,27.0,48,0,Barcelona,False,jules kounde,True,1,0.04,3,0.12,2261,30
Group I,France,6,Manu Koné,MF,2001-05-17,25.0,14,0,Roma,False,manu kone,True,2,0.07,3,0.11,2456,29
Group I,France,7,Ousmane Dembélé,FW,1997-05-15,29.0,59,7,Paris Saint-Germain,False,ousmane dembele,True,10,0.85,7,0.59,1063,22
Group I,France,8,Aurélien Tchouaméni,MF,2000-01-27,26.0,46,3,Real Madrid,False,aurelien tchouameni,True,1,0.03,0,0.0,2615,33
Group I,France,9,Marcus Thuram,FW,1997-08-06,28.0,34,3,Inter Milan,False,marcus thuram,True,13,0.62,6,0.28,1900,29
Group I,France,10,Kylian Mbappé,FW,1998-12-20,27.0,98,56,Real Madrid,True,kylian mbappe,True,25,0.87,5,0.17,2599,31
Group I,France,11,Michael Olise,FW,2001-12-12,24.0,17,7,Bayern Munich,False,michael olise,True,15,0.58,19,0.74,2316,32
Group I,France,12,Bradley Barcola,FW,2002-09-02,23.0,20,3,Paris Saint-Germain,False,bradley barcola,True,11,0.57,1,0.05,1743,29
Group I,France,14,Adrien Rabiot,MF,1995-04-03,31.0,59,7,Milan,False,adrien rabiot,True,0,0.0,0,0.0,90,1
Group I,France,14,Adrien Rabiot,MF,1995-04-03,31.0,59,7,Milan,False,adrien rabiot,True,6,0.21,4,0.14,2550,29
Group I,France,15,Ibrahima Konaté,DF,1999-05-25,27.0,28,0,Liverpool,False,ibrahima konate,True,1,0.03,0,0.0,3090,36
Group I,France,16,Mike Maignan,GK,1995-07-03,30.0,40,0,Milan,False,mike maignan,True,0,0.0,0,0.0,3295,37
Group I,France,17,William Saliba,DF,2001-03-24,25.0,32,0,Arsenal,False,william saliba,True,1,0.03,0,0.0,2614,31
Group I,France,18,Warren Zaïre-Emery,MF,2006-03-08,20.0,11,1,Paris Saint-Germain,False,warren zaire-emery,True,3,0.11,4,0.15,2447,32
Group I,France,20,Désiré Doué,FW,2005-06-03,21.0,7,2,Paris Saint-Germain,False,desire doue,True,7,0.47,4,0.27,1348,23
Group I,France,21,Lucas Hernandez,DF,1996-02-14,30.0,42,0,Paris Saint-Germain,False,lucas hernandez,True,0,0.0,3,0.15,1747,25
Group I,France,22,Jean-Philippe Mateta,FW,1997-06-28,28.0,4,2,Crystal Palace,False,jean-philippe mateta,True,12,0.49,0,0.0,2218,32
Group I,France,23,Robin Risser,GK,2004-12-02,21.0,0,0,Lens,False,robin risser,True,0,0.0,1,0.03,2970,33
Group I,France,24,Rayan Cherki,MF,2003-08-17,22.0,7,2,Manchester City,False,rayan cherki,True,4,0.2,12,0.6,1786,33
Group I,France,25,Maghnes Akliouche,MF,2002-02-25,24.0,9,1,Monaco,False,maghnes akliouche,True,6,0.23,6,0.23,2400,31
Group I,France,26,Maxence Lacroix,DF,2000-04-06,26.0,4,0,Crystal Palace,False,maxence lacroix,True,1,0.03,2,0.06,3085,35
Group I,Norway,1,Ørjan Nyland,GK,1990-09-10,35.0,71,0,Sevilla,False,rjan nyland,True,0,0.0,0,0.0,450,5
Group I,Norway,2,Morten Thorsby,MF,1996-05-05,30.0,31,0,Cremonese,False,morten thorsby,True,1,0.14,0,0.0,643,11
Group I,Norway,2,Morten Thorsby,MF,1996-05-05,30.0,31,0,Cremonese,False,morten thorsby,True,2,0.25,1,0.12,731,13
Group I,Norway,3,Kristoffer Ajer,DF,1998-04-17,28.0,52,2,Brentford,False,kristoffer ajer,True,0,0.0,1,0.05,1810,27
Group I,Norway,4,Leo Østigård,DF,1999-11-28,26.0,38,1,Genoa,False,leo stigard,True,5,0.17,1,0.03,2622,30
Group I,Norway,5,David Møller Wolfe,DF,2002-04-23,24.0,22,1,Wolverhampton Wanderers,False,david mller wolfe,True,0,0.0,2,0.17,1049,22
Group I,Norway,7,Alexander Sørloth,FW,1995-12-05,30.0,72,26,Atlético Madrid,False,alexander srloth,True,13,0.59,0,0.0,1980,35
Group I,Norway,8,Sander Berge,MF,1998-02-14,28.0,66,1,Fulham,False,sander berge,True,0,0.0,1,0.03,2905,35
Group I,Norway,9,Erling Haaland,FW,2000-07-21,25.0,50,55,Manchester City,False,erling haaland,True,27,0.82,8,0.24,2953,35
Group I,Norway,10,Martin Ødegaard,MF,1998-12-17,27.0,68,5,Arsenal,True,martin degaard,True,1,0.07,6,0.39,1369,24
Group I,Norway,11,Jørgen Strand Larsen,FW,2000-02-06,26.0,28,6,Crystal Palace,False,jrgen strand larsen,True,3,0.3,0,0.0,903,14
Group I,Norway,11,Jørgen Strand Larsen,FW,2000-02-06,26.0,28,6,Crystal Palace,False,jrgen strand larsen,True,1,0.06,1,0.06,1404,22
Group I,Norway,12,Sander Tangvik,GK,2002-11-29,23.0,0,0,Hamburger SV,False,sander tangvik,True,0,0.0,0,0.0,90,1
Group I,Norway,17,Torbjørn Heggem,DF,1999-01-12,27.0,15,0,Bologna,False,torbjrn heggem,True,0,0.0,0,0.0,2113,27
Group I,Norway,18,Kristian Thorstvedt,MF,1999-03-13,27.0,37,4,Sassuolo,False,kristian thorstvedt,True,4,0.15,4,0.15,2460,32
Group I,Norway,20,Antonio Nusa,FW,2005-04-17,21.0,24,8,RB Leipzig,False,antonio nusa,True,4,0.18,3,0.13,2027,31
Group I,Norway,22,Oscar Bobb,MF,2003-07-12,22.0,20,2,Fulham,False,oscar bobb,True,0,0.0,0,0.0,571,14
Group I,Norway,22,Oscar Bobb,MF,2003-07-12,22.0,20,2,Fulham,False,oscar bobb,True,0,0.0,1,0.19,468,9
Group I,Norway,26,Julian Ryerson,FW,1997-11-17,28.0,43,1,Borussia Dortmund,False,julian ryerson,True,0,0.0,15,0.6,2266,31
Group I,Senegal,1,Yehvann Diouf,GK,1999-11-16,26.0,2,0,Nice,False,yehvann diouf,True,0,0.0,0,0.0,2340,26
Group I,Senegal,2,Mamadou Sarr,DF,2005-08-29,20.0,7,0,Chelsea,False,mamadou sarr,True,0,0.0,0,0.0,102,3
Group I,Senegal,2,Mamadou Sarr,DF,2005-08-29,20.0,7,0,Chelsea,False,mamadou sarr,True,0,0.0,0,0.0,1305,15
Group I,Senegal,5,Idrissa Gueye,MF,1989-09-26,36.0,130,7,Everton,False,idrissa gueye,True,2,0.09,3,0.13,2093,25
Group I,Senegal,5,Idrissa Gueye,MF,1989-09-26,36.0,130,7,Everton,False,idrissa gueye,True,0,0.0,0,0.0,132,3
Group I,Senegal,5,Idrissa Gueye,MF,1989-09-26,36.0,130,7,Everton,False,idrissa gueye,True,1,0.21,0,0.0,421,19
Group I,Senegal,6,Pathé Ciss,MF,1994-03-16,32.0,29,0,Rayo Vallecano,False,pathe ciss,True,2,0.09,1,0.05,1999,29
Group I,Senegal,7,Assane Diao,FW,2005-09-07,20.0,5,0,Como,False,assane diao,True,2,0.17,1,0.08,1075,17
Group I,Senegal,8,Lamine Camara,MF,2004-01-01,22.0,32,7,Monaco,False,lamine camara,True,3,0.15,4,0.19,1847,24
Group I,Senegal,9,Bamba Dieng,FW,2000-03-23,26.0,22,2,Lorient,False,bamba dieng,True,10,0.74,1,0.07,1212,22
Group I,Senegal,11,Nicolas Jackson,FW,2001-06-20,24.0,32,8,Bayern Munich,False,nicolas jackson,True,8,0.71,1,0.09,1007,23
Group I,Senegal,13,Iliman Ndiaye,FW,2000-03-06,26.0,39,4,Everton,False,iliman ndiaye,True,6,0.19,3,0.1,2778,32
Group I,Senegal,15,Krépin Diatta,DF,1999-02-25,27.0,60,2,Monaco,False,krepin diatta,True,0,0.0,1,0.09,1013,18
Group I,Senegal,17,Pape Matar Sarr,MF,2002-09-14,23.0,39,4,Tottenham Hotspur,False,pape matar sarr,True,2,0.13,4,0.26,1398,26
Group I,Senegal,18,Ismaïla Sarr,FW,1998-02-25,28.0,82,19,Crystal Palace,False,ismaila sarr,True,9,0.37,1,0.04,2174,28
Group I,Senegal,19,Moussa Niakhaté,DF,1996-03-08,30.0,30,0,Lyon,False,moussa niakhate,True,0,0.0,2,0.07,2759,32
Group I,Senegal,20,Ibrahim Mbaye,FW,2008-01-24,18.0,10,3,Paris Saint-Germain,False,ibrahim mbaye,True,3,0.27,2,0.18,1006,24
Group I,Senegal,21,Habib Diarra,MF,2004-01-03,22.0,20,4,Sunderland,False,habib diarra,True,2,0.13,2,0.13,1405,20
Group I,Senegal,22,Bara Sapoko Ndiaye,MF,2007-12-31,18.0,1,0,Bayern Munich,False,bara sapoko ndiaye,True,0,0.0,0,0.0,143,4
Group I,Senegal,23,Mory Diaw,GK,1993-06-22,32.0,5,0,Le Havre,False,mory diaw,True,0,0.0,1,0.03,2655,30
Group I,Senegal,24,Antoine Mendy,DF,2004-05-27,22.0,6,0,Nice,False,antoine mendy,True,1,0.04,0,0.0,2097,25
